Issue ID,Scan ID,Project Name,Classification ID,Issue Classification,Urgency,File,Line Number,Language,Fix Available,Status,Status Comment,Occurrences,First Detection ID,First Detection Scan ID,First Detection Date,First Detection Branch,First Detection Scan URL,First Detection Issue URL
14c1f156-3a42-432a-8c0d-c772f8de6acf,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-121,Stack-based Buffer Overflow,CR,exiv2_74cb5bab132ed76adf15df172c5e8b58cddaa96c_174438512932265025136873819828169733304.c,78,c,False,open,,1,14c1f156-3a42-432a-8c0d-c772f8de6acf,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:36.060451+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/14c1f156-3a42-432a-8c0d-c772f8de6acf/
61d34463-b9e2-408d-bec7-d12e848cbd91,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-122,Heap-based Buffer Overflow,CR,gpac_77510778516803b7f7402d7423c6d6bef50254c3_201175743115190561293904978362617612707.c,1,c,True,open,,1,61d34463-b9e2-408d-bec7-d12e848cbd91,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:29.391424+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/61d34463-b9e2-408d-bec7-d12e848cbd91/
b56a99b9-3b2a-4274-bbc2-a0a4e2781e6a,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-787,Out-of-bounds Write,CR,Espruino_bed844f109b6c222816740555068de2e101e8018_227923885877146348298475652595721064730.c,39,c,True,open,,1,b56a99b9-3b2a-4274-bbc2-a0a4e2781e6a,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:26.291641+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/b56a99b9-3b2a-4274-bbc2-a0a4e2781e6a/
11189740-a3f4-4b45-9e58-9935412e37fd,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-789,Memory Allocation with Excessive Size Value,LO,exiv2_74cb5bab132ed76adf15df172c5e8b58cddaa96c_174438512932265025136873819828169733304.c,174,c,False,open,,1,11189740-a3f4-4b45-9e58-9935412e37fd,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:15.080656+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/11189740-a3f4-4b45-9e58-9935412e37fd/
4c8a6a2d-98ae-4400-9008-ccb5d7065ce1,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-787,Out-of-bounds Write,CR,qemu_b15a22bbcbe6a78dc3d88fe3134985e4cdd87de4_231921026198244072541449258178431781416.c,99,c,True,open,,1,4c8a6a2d-98ae-4400-9008-ccb5d7065ce1,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:08.184634+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/4c8a6a2d-98ae-4400-9008-ccb5d7065ce1/
362445f6-6e8a-4a2b-80d6-51da5a23d827,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-787,Out-of-bounds Write,CR,qemu_b15a22bbcbe6a78dc3d88fe3134985e4cdd87de4_231921026198244072541449258178431781416.c,59,c,True,open,,1,362445f6-6e8a-4a2b-80d6-51da5a23d827,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:03.224319+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/362445f6-6e8a-4a2b-80d6-51da5a23d827/
1929318d-a14a-4a13-a93b-841aefbcef96,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-125,Out-of-bounds Read,CR,audiofile_e8cf0095b3f319739f9aa1ab5a1aa52b76be8cdd_283886510527453629931831538161842718229.c,1,c,True,open,,1,1929318d-a14a-4a13-a93b-841aefbcef96,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:02.827974+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/1929318d-a14a-4a13-a93b-841aefbcef96/
ee9e5253-8eeb-403b-8298-5d5fdcdf2941,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-22,Path Traversal,ME,php-src_6e25966544fb1d2f3d7596e060ce9c9269bbdcf8_132541209153496744537906521231055475357.c,10,c,True,open,,1,ee9e5253-8eeb-403b-8298-5d5fdcdf2941,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:43:02.820595+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/ee9e5253-8eeb-403b-8298-5d5fdcdf2941/
f1990bfb-823f-4d0f-b996-2fc4d5faf7a4,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-73,External Control of File Name or Path,ME,php-src_270a406ac94b5fc5cc9ef59fc61e3b4b95648a3e_197151319961879108651123686564857760803.c,35,c,False,open,,1,f1990bfb-823f-4d0f-b996-2fc4d5faf7a4,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:42:54.413703+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/f1990bfb-823f-4d0f-b996-2fc4d5faf7a4/
4d1f2d84-3300-4b81-943c-1e441221496d,dccef53f-1788-4790-a3dc-85c17998a3e8,diversevul,CWE-125,Out-of-bounds Read,CR,LibRaw_d7c3d2cb460be10a3ea7b32e9443a83c243b2251_46335064425245954801290499802563785356.c,8,c,False,open,,1,4d1f2d84-3300-4b81-943c-1e441221496d,dccef53f-1788-4790-a3dc-85c17998a3e8,2026-01-20 16:42:43.374238+00:00,,https://www.corgea.app/project/4100/?scan_id=dccef53f-1788-4790-a3dc-85c17998a3e8,https://www.corgea.app/issue/4d1f2d84-3300-4b81-943c-1e441221496d/
